system,phase,filename,formation_energy_eV_per_atom,distance_to_hull_eV_per_atom,source_relative_path,sha256
AlTi,Al5Ti3,struct_3701_7_relaxed.vasp,-0.42095992156250084,8.628828125578636e-06,AlTi/Al5Ti3/xyz2poscar/struct_3701_7_relaxed.vasp,e600ce83d5be6894c8ffde5e8658314eaaa7391af0fddeba3a6d19a8ed09836c
AuTi,Au1Ti3,struct_2653_0_relaxed.vasp,-0.36131232406249936,0.0,AuTi/Au1Ti3/xyz2poscar/struct_2653_0_relaxed.vasp,4051858f7ba17645171cb38c82e2f29a1ad39be356d891c82ef79b578db95e8a
AuTi,Au2Ti1,struct_1898_0_relaxed.vasp,-0.43654653708333474,0.0,AuTi/Au2Ti1/xyz2poscar/struct_1898_0_relaxed.vasp,edc39e33949c5a48eed3eae6447c8a718e0778bd665a0d97cf99b6ebe4ab8ba2
AuTi,Au4Ti1,struct_425_relaxed.vasp,-0.288762569,0.0,AuTi/Au4Ti1/xyz2poscar/struct_425_relaxed.vasp,27dc3513b40cd9e3ca0ff11e471bf2140f60cf2347d1c41fcbe1a6a70a518daf
CdMg,Cd1Mg3,struct_19801_4_relaxed.vasp,-0.07084556625000049,0.0,CdMg/Cd1Mg3/xyz2poscar/struct_19801_4_relaxed.vasp,8951ba230e3b23e3924025f06263f013119ed1116cbfc661a19db506d67a5761
CdMg,Cd2Mg3,struct_3544_0_relaxed.vasp,-0.09631592500000022,0.0,CdMg/Cd2Mg3/xyz2poscar/struct_3544_0_relaxed.vasp,e52cc8e4c4b96829a5fcb3a79c888cf5b31c91047ead268257d742d23efd4067
CdMg,Cd3Mg2,struct_12762_3_relaxed.vasp,-0.09149833175000008,0.0,CdMg/Cd3Mg2/xyz2poscar/struct_12762_3_relaxed.vasp,f16b0f73f34c90a7f5187d4fea0c9bccf39a6e3b0c71fac261babc31b8adc995
CdMg,Cd3Mg5,struct_2134_6_relaxed.vasp,-0.09216343281249983,0.0,CdMg/Cd3Mg5/xyz2poscar/struct_2134_6_relaxed.vasp,a921c890c8eee21619822a688d47c9aabbbc7198f88e4fc46c80445bd552750e
CdMg,Cd5Mg1,struct_12904_6_relaxed.vasp,-0.061558234999999684,0.0,CdMg/Cd5Mg1/xyz2poscar/struct_12904_6_relaxed.vasp,d7e52e4d4d076b09f7c3c970fc64677a21f0c427948e51ca021a6945ea229813
CdMg,Cd5Mg3,struct_8968_5_relaxed.vasp,-0.08828200593749957,8.4583035718927e-06,CdMg/Cd5Mg3/xyz2poscar/struct_8968_5_relaxed.vasp,16ea8d8a361f0206ff531319e45d144c13635450464bb4c7f6c3c5fab7c8391e
CdTi,Cd1Ti1,struct_3426_7_relaxed.vasp,-0.05251751416666769,0.0,CdTi/Cd1Ti1/xyz2poscar/struct_3426_7_relaxed.vasp,5161c8374bd9555758358161256da8261e36d13cefb55068b11c0cd3d18eef97
CdTi,Cd1Ti2,struct_5026_5_relaxed.vasp,-0.05854324729166412,0.0,CdTi/Cd1Ti2/xyz2poscar/struct_5026_5_relaxed.vasp,fdb76858b10246d18f59bf1780e66eb471468a4c452d61e3e24f6430d46de61d
CuPd,Cu1Pd1,struct_3142_4_relaxed.vasp,-0.1535826118749979,0.0,CuPd/Cu1Pd1/xyz2poscar/struct_3142_4_relaxed.vasp,d82c726e2c1d988d839da17db846129e0ffbd1da02e0a4dfd7f067e03e7f6200
CuPd,Cu1Pd5,struct_2624_1_relaxed.vasp,-0.05544054374999637,0.000358221249999964,CuPd/Cu1Pd5/xyz2poscar/struct_2624_1_relaxed.vasp,1f338a5366698f2018e0e2b2735c556291ed7fb9150ede5647055522259cffab
CuPd,Cu1Pd5,struct_2795_0_relaxed.vasp,-0.05579876499999633,0.0,CuPd/Cu1Pd5/xyz2poscar/struct_2795_0_relaxed.vasp,21d154e9fb6eea04230916e8c83c5c0f067658b82dcefbf554b0e57e37fc45fc
