system,phase,filename,reduced_formula,number_of_atoms,space_group_symbol,space_group_number,target_element,target_element_fraction,dft_formation_energy_eV_per_atom,dft_distance_to_combined_hull_eV_per_atom,mlip_formation_energy_eV_per_atom,mlip_distance_to_search_hull_eV_per_atom,materials_project_match,materials_project_references_checked,source_relative_path,sha256
OsTi,Os2Ti3,struct_2998_9_relaxed.vasp,Ti3Os2,40,I4/mmm,139,Ti,0.6,-0.6069205917500071,0.0,-0.5583786252511501,0.003228462491387085,False,0,OsTi/Os2Ti3/xyz2poscar/struct_2998_9_relaxed.vasp,aacf9455afa2753c65a5e8557cbce2e2335b89bf33ce8f5af8e33b93ddfca9f2
PdTi,Pd2Ti1,struct_4028_0_relaxed.vasp,TiPd2,36,P-1,2,Ti,0.3333333333333333,-0.6217815758333285,0.0,-0.5932952499485948,0.033152516281353406,False,2,PdTi/Pd2Ti1/xyz2poscar/struct_4028_0_relaxed.vasp,7c354889480d8c250aa53984f7b91b240a99d02a07f252fc0274e2490e2404f0
PdTi,Pd2Ti1,struct_5260_0_relaxed.vasp,TiPd2,48,Immm,71,Ti,0.3333333333333333,-0.6212404643749979,0.0005411114583305787,-0.5952761059244972,0.031171660305451043,False,2,PdTi/Pd2Ti1/xyz2poscar/struct_5260_0_relaxed.vasp,bb1d08c484c99a4f004202d08b777ffcb1a00f94641e276f7919b972674758f6
PdTi,Pd4Ti1,struct_10117_2_relaxed.vasp,TiPd4,40,Pmma,51,Ti,0.2,-0.5469674459999958,0.0,-0.47262594226014515,0.016298974071008887,False,0,PdTi/Pd4Ti1/xyz2poscar/struct_10117_2_relaxed.vasp,862c35fd0735beade3aad8c32b5b20718917f68cf3adbf724158af00827cb339
PdTi,Pd5Ti1,struct_10441_0_relaxed.vasp,TiPd5,48,Cmmm,65,Ti,0.16666666666666666,-0.4758077547916635,0.0,-0.43232662865808064,0.0,False,0,PdTi/Pd5Ti1/xyz2poscar/struct_10441_0_relaxed.vasp,22a820a1779c9f1a3d599a39217056ef095c3dd97f1a5ff3bf0937bbebc2e31b
PdTi,Pd5Ti3,struct_10743_4_relaxed.vasp,Ti3Pd5,32,Ibam,72,Ti,0.375,-0.6076021237499969,0.0009344543750060552,-0.5940689495914526,0.022182852749351722,False,2,PdTi/Pd5Ti3/xyz2poscar/struct_10743_4_relaxed.vasp,404e5659233be8612dd99727334519e8299626c844532fcf49a72784d53e8d38
PtTi,Pt3Ti5,struct_2031_0_relaxed.vasp,Ti5Pt3,32,P-4m2,115,Ti,0.625,-0.7916013481249973,0.0,-0.7793067006964352,0.0,False,0,PtTi/Pt3Ti5/xyz2poscar/struct_2031_0_relaxed.vasp,6f833784069153991108e1eeb2a81088aa8e69adb08b203981d41650c14a2ada
PtTi,Pt4Ti1,struct_10382_5_relaxed.vasp,TiPt4,40,P2_1/m,11,Ti,0.2,-0.7088980637499972,0.0,-0.7083211776193827,0.009233475088935017,False,0,PtTi/Pt4Ti1/xyz2poscar/struct_10382_5_relaxed.vasp,5fc609821168f011c173d6d437215f736c07666c5674cacbbb0546ab17707be0
PtTi,Pt4Ti1,struct_10429_3_relaxed.vasp,TiPt4,40,Cmm2,35,Ti,0.2,-0.708610630249997,0.000287433500000156,-0.7175546527083178,0.0,False,0,PtTi/Pt4Ti1/xyz2poscar/struct_10429_3_relaxed.vasp,cb7380731824358be708f2d423c8cdc0060fc9eeb571b75bd68f84dd9a95a010
RhTi,Rh1Ti3,struct_12547_5_relaxed.vasp,Ti3Rh,32,P2_1/m,11,Ti,0.75,-0.45492665937499766,0.0006892256250052298,-0.41218623476248695,0.013274371972641141,False,0,RhTi/Rh1Ti3/xyz2poscar/struct_12547_5_relaxed.vasp,7c435167b297984cdbdcd7455850b2873d5e1f1b66c3108580ad05ea03bf60f5
RhTi,Rh2Ti1,struct_4082_7_relaxed.vasp,TiRh2,36,Pnma,62,Ti,0.3333333333333333,-0.7099171652777758,0.0005626415972268539,-0.6855473480131459,0.013888994584953962,False,0,RhTi/Rh2Ti1/xyz2poscar/struct_4082_7_relaxed.vasp,17e55f01fc9f95bba0d67cd02e154c7a392df628f2e54dd957417ca133dbd146
