r_ij,median_interpolated,median_smoothed,E_ij,source,is_original_0p02A_grid
3.96,-0.08464032,-0.08475157,-0.08475157,maincluster_pchip_resampled,False
3.97,-0.08337175,-0.08352594,-0.08352594,maincluster_observed_0p02A_bin,True
3.98,-0.08057540,-0.08231815,-0.08231815,maincluster_pchip_resampled,False
3.99,-0.07859545,-0.08110963,-0.08110963,maincluster_observed_0p02A_bin,True
4.00,-0.07927959,-0.07984400,-0.07984400,maincluster_pchip_resampled,False
4.01,-0.07996373,-0.07860959,-0.07860959,maincluster_observed_0p02A_bin,True
4.02,-0.07887782,-0.07749803,-0.07749803,maincluster_pchip_resampled,False
4.03,-0.07708554,-0.07642340,-0.07642340,maincluster_observed_0p02A_bin,True
4.04,-0.07562138,-0.07532174,-0.07532174,maincluster_pchip_resampled,False
4.05,-0.07431098,-0.07423990,-0.07423990,maincluster_observed_0p02A_bin,True
4.06,-0.07337641,-0.07320023,-0.07320023,maincluster_pchip_resampled,False
4.07,-0.07247410,-0.07220684,-0.07220684,maincluster_observed_0p02A_bin,True
4.08,-0.07125459,-0.07128649,-0.07128649,maincluster_pchip_resampled,False
4.09,-0.07007330,-0.07038721,-0.07038721,maincluster_observed_0p02A_bin,True
4.10,-0.06925714,-0.06945905,-0.06945905,maincluster_pchip_resampled,False
4.11,-0.06846190,-0.06853422,-0.06853422,maincluster_observed_0p02A_bin,True
4.12,-0.06733478,-0.06764571,-0.06764571,maincluster_pchip_resampled,False
4.13,-0.06630478,-0.06674050,-0.06674050,maincluster_observed_0p02A_bin,True
4.14,-0.06574937,-0.06572585,-0.06572585,maincluster_pchip_resampled,False
4.15,-0.06520561,-0.06474396,-0.06474396,maincluster_observed_0p02A_bin,True
4.16,-0.06428044,-0.06393105,-0.06393105,maincluster_pchip_resampled,False
4.17,-0.06324106,-0.06317242,-0.06317242,maincluster_observed_0p02A_bin,True
4.18,-0.06230346,-0.06241217,-0.06241217,maincluster_pchip_resampled,False
4.19,-0.06146334,-0.06165972,-0.06165972,maincluster_observed_0p02A_bin,True
4.20,-0.06082781,-0.06089907,-0.06089907,maincluster_pchip_resampled,False
4.21,-0.06020071,-0.06015172,-0.06015172,maincluster_observed_0p02A_bin,True
4.22,-0.05935319,-0.05943895,-0.05943895,maincluster_pchip_resampled,False
4.23,-0.05851775,-0.05874215,-0.05874215,maincluster_observed_0p02A_bin,True
4.24,-0.05787877,-0.05804692,-0.05804692,maincluster_pchip_resampled,False
4.25,-0.05732735,-0.05736489,-0.05736489,maincluster_observed_0p02A_bin,True
4.26,-0.05687683,-0.05670868,-0.05670868,maincluster_pchip_resampled,False
4.27,-0.05639735,-0.05605938,-0.05605938,maincluster_observed_0p02A_bin,True
4.28,-0.05566606,-0.05539396,-0.05539396,maincluster_pchip_resampled,False
4.29,-0.05485615,-0.05473922,-0.05473922,maincluster_observed_0p02A_bin,True
4.30,-0.05412731,-0.05411816,-0.05411816,maincluster_pchip_resampled,False
4.31,-0.05344277,-0.05351550,-0.05351550,maincluster_observed_0p02A_bin,True
4.32,-0.05281479,-0.05292407,-0.05292407,maincluster_pchip_resampled,False
4.33,-0.05224392,-0.05234505,-0.05234505,maincluster_observed_0p02A_bin,True
4.34,-0.05175635,-0.05177488,-0.05177488,maincluster_pchip_resampled,False
4.35,-0.05127963,-0.05122087,-0.05122087,maincluster_observed_0p02A_bin,True
4.36,-0.05074857,-0.05069565,-0.05069565,maincluster_pchip_resampled,False
4.37,-0.05018470,-0.05017769,-0.05017769,maincluster_observed_0p02A_bin,True
4.38,-0.04956612,-0.04964345,-0.04964345,maincluster_pchip_resampled,False
4.39,-0.04895889,-0.04911440,-0.04911440,maincluster_observed_0p02A_bin,True
4.40,-0.04842044,-0.04860063,-0.04860063,maincluster_pchip_resampled,False
4.41,-0.04794258,-0.04811129,-0.04811129,maincluster_observed_0p02A_bin,True
4.42,-0.04753907,-0.04766639,-0.04766639,maincluster_pchip_resampled,False
4.43,-0.04718376,-0.04723641,-0.04723641,maincluster_observed_0p02A_bin,True
4.44,-0.04688730,-0.04679946,-0.04679946,maincluster_pchip_resampled,False
4.45,-0.04657419,-0.04636143,-0.04636143,maincluster_observed_0p02A_bin,True
4.46,-0.04612975,-0.04591887,-0.04591887,maincluster_pchip_resampled,False
4.47,-0.04562410,-0.04547785,-0.04547785,maincluster_observed_0p02A_bin,True
4.48,-0.04511619,-0.04504495,-0.04504495,maincluster_pchip_resampled,False
4.49,-0.04459599,-0.04461496,-0.04461496,maincluster_observed_0p02A_bin,True
4.50,-0.04403074,-0.04418446,-0.04418446,maincluster_pchip_resampled,False
4.51,-0.04355055,-0.04375498,-0.04375498,maincluster_observed_0p02A_bin,True
4.52,-0.04328247,-0.04333065,-0.04333065,maincluster_pchip_resampled,False
4.53,-0.04302841,-0.04290019,-0.04290019,maincluster_observed_0p02A_bin,True
4.54,-0.04266028,-0.04244922,-0.04244922,maincluster_pchip_resampled,False
4.55,-0.04220073,-0.04198932,-0.04198932,maincluster_observed_0p02A_bin,True
4.56,-0.04155752,-0.04152720,-0.04152720,maincluster_pchip_resampled,False
4.57,-0.04091838,-0.04106481,-0.04106481,maincluster_observed_0p02A_bin,True
4.58,-0.04049220,-0.04060735,-0.04060735,maincluster_pchip_resampled,False
4.59,-0.04011253,-0.04015185,-0.04015185,maincluster_observed_0p02A_bin,True
4.60,-0.03972785,-0.03969727,-0.03969727,maincluster_pchip_resampled,False
4.61,-0.03931109,-0.03924303,-0.03924303,maincluster_observed_0p02A_bin,True
4.62,-0.03875633,-0.03879128,-0.03879128,maincluster_pchip_resampled,False
4.63,-0.03819784,-0.03833279,-0.03833279,maincluster_observed_0p02A_bin,True
4.64,-0.03778295,-0.03785710,-0.03785710,maincluster_pchip_resampled,False
